track Name,artists,track_id,popularity,duration_ms,explicit,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,time_signature
Cum On Feel The Noize,Slade,2p3KKkfBDsUddb4KwXZO59,0,262973,False,glam rock,0.408,0.83,7,-7.932,1,0.086,0.000327,0.58,0.131,0.674,137.778,audio_features,2p3KKkfBDsUddb4KwXZO59,spotify:track:2p3KKkfBDsUddb4KwXZO59,https://api.spotify.com/v1/tracks/2p3KKkfBDsUddb4KwXZO59,https://api.spotify.com/v1/audio-analysis/2p3KKkfBDsUddb4KwXZO59,4
A Horse with No Name,"America, George Martin",0Osbam159ngkQww6isBBQJ,44,252240,False,album rock,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,audio_features,0Osbam159ngkQww6isBBQJ,spotify:track:0Osbam159ngkQww6isBBQJ,https://api.spotify.com/v1/tracks/0Osbam159ngkQww6isBBQJ,https://api.spotify.com/v1/audio-analysis/0Osbam159ngkQww6isBBQJ,4
Reet Petite - The Finest Girl You Ever Want to Meet,Jackie Wilson,4uWVg1Gkjnqf97f1YsuzgM,0,165867,False,chicago soul,0.655,0.67,5,-6.719,1,0.106,0.387,0,0.148,0.929,84.117,audio_features,4uWVg1Gkjnqf97f1YsuzgM,spotify:track:4uWVg1Gkjnqf97f1YsuzgM,https://api.spotify.com/v1/tracks/4uWVg1Gkjnqf97f1YsuzgM,https://api.spotify.com/v1/audio-analysis/4uWVg1Gkjnqf97f1YsuzgM,4
The Robots - 2009 Remaster,Kraftwerk,5eqZWYQ5tbIehx00NeKXz7,44,372760,False,dusseldorf electronic,0.806,0.765,2,-9.665,0,0.0583,0.0236,0.617,0.148,0.353,115.023,audio_features,5eqZWYQ5tbIehx00NeKXz7,spotify:track:5eqZWYQ5tbIehx00NeKXz7,https://api.spotify.com/v1/tracks/5eqZWYQ5tbIehx00NeKXz7,https://api.spotify.com/v1/audio-analysis/5eqZWYQ5tbIehx00NeKXz7,4
(Mama) He Treats Your Daughter Mean,Ruth Brown,6BPkbMz0Mq4GGqmwcvNywk,0,179013,False,jazz blues,0.835,0.446,8,-5.085,1,0.0603,0.719,0,0.0753,0.909,120.238,audio_features,6BPkbMz0Mq4GGqmwcvNywk,spotify:track:6BPkbMz0Mq4GGqmwcvNywk,https://api.spotify.com/v1/tracks/6BPkbMz0Mq4GGqmwcvNywk,https://api.spotify.com/v1/audio-analysis/6BPkbMz0Mq4GGqmwcvNywk,4
Torn,Natalie Imbruglia,0tQMg8pVBMS0ii2o3we06F,33,244933,False,dance pop,0.576,0.864,5,-6.362,1,0.0322,0.0616,4.72e-05,0.71,0.611,96.311,audio_features,0tQMg8pVBMS0ii2o3we06F,spotify:track:0tQMg8pVBMS0ii2o3we06F,https://api.spotify.com/v1/tracks/0tQMg8pVBMS0ii2o3we06F,https://api.spotify.com/v1/audio-analysis/0tQMg8pVBMS0ii2o3we06F,4
This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,6aBUnkXuCEQQHAlTokv9or,69,296147,False,alternative rock,0.942,0.641,7,-10.15,1,0.0333,0.331,0.179,0.028,0.966,114.443,audio_features,6aBUnkXuCEQQHAlTokv9or,spotify:track:6aBUnkXuCEQQHAlTokv9or,https://api.spotify.com/v1/tracks/6aBUnkXuCEQQHAlTokv9or,https://api.spotify.com/v1/audio-analysis/6aBUnkXuCEQQHAlTokv9or,4
Never Let Me Down Again,Depeche Mode,0ooy3NjwsJreceWYCxlfQt,41,288000,False,dance rock,0.599,0.719,0,-12.57,1,0.0288,0.278,0.0486,0.693,0.785,106.081,audio_features,0ooy3NjwsJreceWYCxlfQt,spotify:track:0ooy3NjwsJreceWYCxlfQt,https://api.spotify.com/v1/tracks/0ooy3NjwsJreceWYCxlfQt,https://api.spotify.com/v1/audio-analysis/0ooy3NjwsJreceWYCxlfQt,4
Hold On,Alabama Shakes,1gGY6qfslDtJ4OoWQGKtkE,0,226187,False,alabama indie,0.574,0.667,5,-5.425,1,0.0301,0.206,0.352,0.0852,0.546,88.299,audio_features,1gGY6qfslDtJ4OoWQGKtkE,spotify:track:1gGY6qfslDtJ4OoWQGKtkE,https://api.spotify.com/v1/tracks/1gGY6qfslDtJ4OoWQGKtkE,https://api.spotify.com/v1/audio-analysis/1gGY6qfslDtJ4OoWQGKtkE,4
Sin City,The Flying Burrito Brothers,79eJ1pa0yAAFlloGPizz8W,0,251533,False,cosmic american,0.427,0.403,3,-14.064,1,0.0282,0.00558,3.57e-06,0.306,0.657,86.014,audio_features,79eJ1pa0yAAFlloGPizz8W,spotify:track:79eJ1pa0yAAFlloGPizz8W,https://api.spotify.com/v1/tracks/79eJ1pa0yAAFlloGPizz8W,https://api.spotify.com/v1/audio-analysis/79eJ1pa0yAAFlloGPizz8W,3
What Time Is Love - Live at Trancentral,The KLF,3s0xToSIHU7jsKNNizIqyG,0,322608,False,acid house,0.604,0.779,6,-9.774,1,0.0863,0.00302,0.00026,0.95,0.433,119.168,audio_features,3s0xToSIHU7jsKNNizIqyG,spotify:track:3s0xToSIHU7jsKNNizIqyG,https://api.spotify.com/v1/tracks/3s0xToSIHU7jsKNNizIqyG,https://api.spotify.com/v1/audio-analysis/3s0xToSIHU7jsKNNizIqyG,4
Fake Empire,The National,6aUAF8JOd8zEl41B6I18xL,0,205040,False,chamber pop,0.324,0.776,0,-6.784,1,0.0346,0.151,0.917,0.0728,0.317,101.964,audio_features,6aUAF8JOd8zEl41B6I18xL,spotify:track:6aUAF8JOd8zEl41B6I18xL,https://api.spotify.com/v1/tracks/6aUAF8JOd8zEl41B6I18xL,https://api.spotify.com/v1/audio-analysis/6aUAF8JOd8zEl41B6I18xL,3
My Baby Just Cares for Me - 2013 Remastered Version,Nina Simone,6VTbbVjKOC2qWagIDbkJrC,4,215747,False,jazz blues,0.746,0.243,4,-15.134,0,0.123,0.829,1.02e-06,0.0905,0.425,118.578,audio_features,6VTbbVjKOC2qWagIDbkJrC,spotify:track:6VTbbVjKOC2qWagIDbkJrC,https://api.spotify.com/v1/tracks/6VTbbVjKOC2qWagIDbkJrC,https://api.spotify.com/v1/audio-analysis/6VTbbVjKOC2qWagIDbkJrC,4
Mykonos,Fleet Foxes,3RVupqMb1zXl8FNG9TlWBZ,0,275307,False,chamber pop,0.391,0.45,11,-9.251,1,0.0306,0.417,0.000335,0.14,0.344,121.946,audio_features,3RVupqMb1zXl8FNG9TlWBZ,spotify:track:3RVupqMb1zXl8FNG9TlWBZ,https://api.spotify.com/v1/tracks/3RVupqMb1zXl8FNG9TlWBZ,https://api.spotify.com/v1/audio-analysis/3RVupqMb1zXl8FNG9TlWBZ,4
Photograph,Def Leppard,6ZfnaOLNfOYRsGKoS2EWDO,35,247962,False,album rock,0.603,0.877,4,-6.606,1,0.0515,0.000343,0.635,0.0551,0.617,123.679,audio_features,6ZfnaOLNfOYRsGKoS2EWDO,spotify:track:6ZfnaOLNfOYRsGKoS2EWDO,https://api.spotify.com/v1/tracks/6ZfnaOLNfOYRsGKoS2EWDO,https://api.spotify.com/v1/audio-analysis/6ZfnaOLNfOYRsGKoS2EWDO,4
Pushin' Too Hard,The Seeds,4yQRczx7diWEf7Yvps3kmC,36,158778,False,classic garage rock,0.535,0.654,9,-12.434,1,0.042,0.267,1.16e-05,0.318,0.827,143.612,audio_features,4yQRczx7diWEf7Yvps3kmC,spotify:track:4yQRczx7diWEf7Yvps3kmC,https://api.spotify.com/v1/tracks/4yQRczx7diWEf7Yvps3kmC,https://api.spotify.com/v1/audio-analysis/4yQRczx7diWEf7Yvps3kmC,4
I Will Always Love You,Whitney Houston,4eHbdreAnSOrDDsFfc4Fpm,75,271093,False,dance pop,0.332,0.214,4,-12.518,1,0.0349,0.845,5.62e-06,0.0839,0.11,67.531,audio_features,4eHbdreAnSOrDDsFfc4Fpm,spotify:track:4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/tracks/4eHbdreAnSOrDDsFfc4Fpm,https://api.spotify.com/v1/audio-analysis/4eHbdreAnSOrDDsFfc4Fpm,4
Under the Boardwalk,The Drifters,65jrjEhWfAvysKfnojk1i0,66,161960,False,adult standards,0.747,0.226,7,-13.635,1,0.0414,0.908,0.000168,0.107,0.778,123.792,audio_features,65jrjEhWfAvysKfnojk1i0,spotify:track:65jrjEhWfAvysKfnojk1i0,https://api.spotify.com/v1/tracks/65jrjEhWfAvysKfnojk1i0,https://api.spotify.com/v1/audio-analysis/65jrjEhWfAvysKfnojk1i0,4
When You Were Mine,Prince,6Kbkge4WbvwWv1jVzSQsr8,37,225547,False,funk,0.694,0.444,9,-13.254,1,0.0648,0.00657,0.776,0.0719,0.879,143.078,audio_features,6Kbkge4WbvwWv1jVzSQsr8,spotify:track:6Kbkge4WbvwWv1jVzSQsr8,https://api.spotify.com/v1/tracks/6Kbkge4WbvwWv1jVzSQsr8,https://api.spotify.com/v1/audio-analysis/6Kbkge4WbvwWv1jVzSQsr8,4
"Steady, As She Goes",The Raconteurs,4OAgAZNz1bFyUvyuJGibjy,0,217547,False,alternative rock,0.524,0.575,9,-5.081,1,0.116,0.0104,0.0169,0.165,0.532,122.957,audio_features,4OAgAZNz1bFyUvyuJGibjy,spotify:track:4OAgAZNz1bFyUvyuJGibjy,https://api.spotify.com/v1/tracks/4OAgAZNz1bFyUvyuJGibjy,https://api.spotify.com/v1/audio-analysis/4OAgAZNz1bFyUvyuJGibjy,4
